id|label|vocoder|language|speaker|script
/LJSpeech/train/wav/LJ043-0170.wav|real|real|English|I asked him what for he was making all these entries in the book and he answered that he wanted to leave a complete record so that all the details would be in it.|
/GPT/wav/LJ043-0180.wav|fake|tts-1|English|shimmer|and with the circumstances surrounding the assassination, have led the Commission to believe
/LJSpeech/train/wav/LJ043-0143.wav|real|real|English|with his recently acquired rifle and pistol, a copy of the March twenty-four, nineteen sixty-three, issue of the Worker,|
/GPT/wav/LJ002-0237.wav|fake|tts-1|English|alloy|This very ancient prison, which stood in the High Street, Southwark,
/LJSpeech/train/wav/LJ011-0012.wav|real|real|English|It must be added that the Bank of England, on discovering the forgeries,|
/GPT/wav/LJ017-0051.wav|fake|tts-1|English|shimmer|covered rather scantily with light sandy hair.
/LJSpeech/train/wav/LJ018-0294.wav|real|real|English|all of which were discounted to the value of one hundred two thousand, two hundred seventeen pounds.|
/GPT/wav/LJ036-0180.wav|fake|tts-1-hd|English|fable|Mrs. Roberts testified that on Thursday, November twenty-one, Oswald did not come home.
/GPT/wav/LJ029-0019.wav|fake|tts-1|English|shimmer|The President had spoken earlier that day at the Air Force Academy in Colorado Springs, Colorado.
/GPT/wav/LJ038-0212.wav|fake|tts-1|English|alloy|which appeared to be the work of a man expecting to be killed, or imprisoned, or to disappear.
/GPT/wav/LJ028-0206.wav|fake|tts-1|English|echo|he subdued the people, and wherever they collected, he slew them.
/GPT/wav/LJ006-0223.wav|fake|tts-1-hd|English|fable|There was much swearing and bad language, the very worst that could be used, from the first thing in the morning to the last thing at night.
/LJSpeech/train/wav/LJ025-0012.wav|real|real|English|extracts from which follow.|
/LJSpeech/train/wav/LJ036-0061.wav|real|real|English|A Beckley bus which also served the Oak Cliff area,|
/GPT/wav/LJ032-0045.wav|fake|tts-1|English|shimmer|This price included nineteen dollars, ninety-five cents for the rifle and the scope, and one dollar, fifty cents for postage and handling.
/GPT/wav/LJ047-0109.wav|fake|tts-1-hd|English|fable|When Quigley returned to his office, he learned
/GPT/wav/LJ011-0008.wav|fake|tts-1-hd|English|alloy|whereupon he produced exchequer bills to the amount.
/GPT/wav/LJ019-0130.wav|fake|tts-1|English|nova|since admirably developed in the convict prisons of this country.
/LJSpeech/train/wav/LJ049-0185.wav|real|real|English|During the period the Commission was giving thought to this situation,|
/GPT/wav/LJ006-0106.wav|fake|tts-1|English|onyx|Too much was left to the wardsman. It was he who could issue small luxuries;
/LJSpeech/train/wav/LJ017-0100.wav|real|real|English|Next night Cook had a second and a more violent attack.|
/GPT/wav/LJ003-0014.wav|fake|tts-1|English|shimmer|Quarreling among the debtors was not unfrequent. Blows were struck, and fights often ensued.
/LJSpeech/train/wav/LJ011-0015.wav|real|real|English|His hair, though gray, was thick, and lay smooth over his forehead.|
/GPT/wav/LJ019-0247.wav|fake|tts-1-hd|English|nova|which existed in the various prisons,
/GPT/wav/LJ005-0248.wav|fake|tts-1|English|onyx|and stated that in his opinion Newgate, as the common jail of Middlesex, was wholly inadequate to the proper confinement of its prisoners.
/LJSpeech/train/wav/LJ049-0207.wav|real|real|English|that it was not within the Commission's responsibility to make specific recommendations as to the long-range organization of the President's protection,|
/GPT/wav/LJ016-0304.wav|fake|tts-1-hd|English|fable|Numbers of humane and thoughtful persons had long been convinced of this.
/GPT/wav/LJ004-0089.wav|fake|tts-1|English|alloy|and to pay overseers or instructors out of the county rates.
/GPT/wav/LJ012-0205.wav|fake|tts-1-hd|English|onyx|"an avowed ""snatcher"" and habitué of the Fortune of War, a public-house in Smithfield frequented openly by men of this awful profession."
/GPT/wav/LJ022-0143.wav|fake|tts-1-hd|English|onyx|After careful consideration, I have asked the Congress to extend the life of this useful agency of government.
/GPT/wav/LJ013-0052.wav|fake|tts-1-hd|English|fable|The executors to the estate disputed the validity of this document.
/GPT/wav/LJ036-0156.wav|fake|tts-1|English|alloy|He was in error, however.
/GPT/wav/LJ017-0163.wav|fake|tts-1-hd|English|fable|either arsenic or antimony, or both, in small quantities,
/LJSpeech/train/wav/LJ033-0042.wav|real|real|English|Between the hours of eight and nine p.m. they were occupied with the children in the bedrooms located at the extreme east end of the house.|
/LJSpeech/train/wav/LJ011-0053.wav|real|real|English|"This ""personality,"" and it can be called by no other name, is carefully excluded from prison pulpit utterances on the eve of an execution."|
/GPT/wav/LJ008-0185.wav|fake|tts-1|English|nova|Beware of entering the crowd! Remember thirty poor persons were pressed to death by the crowd when Haggerty and Holloway were executed!
/GPT/wav/LJ038-0038.wav|fake|tts-1|English|alloy|McDonald struck back with his right hand and grabbed the gun with his left hand. They both fell into the seats.
/LJSpeech/train/wav/LJ044-0233.wav|real|real|English|Oswald was carrying only thirteen dollars, eighty-seven cents at the time of his arrest, although he had left, apparently by design,|
/LJSpeech/train/wav/LJ014-0122.wav|real|real|English|A great number of distinguished people assembled as usual at the Old Bailey on the day of trial.|
/LJSpeech/train/wav/LJ045-0147.wav|real|real|English|She asked Oswald, quote,|
/GPT/wav/LJ030-0148.wav|fake|tts-1-hd|English|fable|Seconds after the shooting, Roy Kellerman, riding in the front seat of the Presidential limousine,
/GPT/wav/LJ037-0105.wav|fake|tts-1|English|alloy|They heard the sound of shots to the north of their lot. Callaway heard five shots, and Guinyard three.
/LJSpeech/train/wav/LJ033-0114.wav|real|real|English|When Frazier appeared before the Commission and was asked to demonstrate how Oswald carried the package, he said, quote, Like I said,|
/GPT/wav/LJ049-0036.wav|fake|tts-1|English|nova|and by the passengers in the jump seats.
/LJSpeech/train/wav/LJ029-0106.wav|real|real|English|The police officials agreed that the route recommended by Sorrels was the proper one and did not express a belief that any other route might be better.|
/LJSpeech/train/wav/LJ003-0041.wav|real|real|English|There was no lack of air and light for the new jail, and several exercising yards.|
/GPT/wav/LJ027-0060.wav|fake|tts-1-hd|English|echo|All vertebrates, and none other, have a number of their anterior vertebral joints enlarged and consolidated into a box to form the skull,
/GPT/wav/LJ049-0173.wav|fake|tts-1|English|nova|As the testimony of J. Edgar Hoover and other Bureau officials revealed, the FBI did not believe that its directive required the Bureau
/LJSpeech/train/wav/LJ003-0174.wav|real|real|English|Mr. Davison, sent to Newgate for embezzlement, and whose case is given in the preceding chapter,|
/LJSpeech/train/wav/LJ034-0197.wav|real|real|English|who was one of the first witnesses to alert the police to the Depository as the source of the shots, as has been discussed in chapter three.|
/GPT/wav/LJ009-0039.wav|fake|tts-1|English|alloy|Those who sat in it were visible to the whole congregation, and still more to the ordinary,
/LJSpeech/train/wav/LJ037-0241.wav|real|real|English|The suspect last seen running west on Jefferson from four hundred East Jefferson.|
/LJSpeech/train/wav/LJ031-0054.wav|real|real|English|At that point, direction of the President's treatment was undertaken by Dr. Malcolm O. Perry, who arrived at trauma room one a few moments after the President.|
/LJSpeech/train/wav/LJ045-0172.wav|real|real|English|Answer: He said he would buy me a washing machine.|
/LJSpeech/train/wav/LJ005-0024.wav|real|real|English|He objected to the instruction of prisoners in reading and writing.|
/LJSpeech/train/wav/LJ040-0190.wav|real|real|English|he had better than average ability in arithmetical reasoning for his age group.|
/LJSpeech/train/wav/LJ010-0119.wav|real|real|English|It was asserted, not without foundation, at these trials, that Edwards repeatedly incited the associates he was betraying|
/LJSpeech/train/wav/LJ037-0100.wav|real|real|English|Later, the FBI showed Smith a picture of Oswald. In the picture the hair was brown.|
/GPT/wav/LJ008-0278.wav|fake|tts-1-hd|English|onyx|"or theirs might be one of many, and it might be considered necessary to ""make an example."""
/GPT/wav/LJ005-0227.wav|fake|tts-1-hd|English|onyx|It was enacted that the court of aldermen should make rules for the government of the prison, and that these should be posted publicly within the walls.
/GPT/wav/LJ026-0025.wav|fake|tts-1|English|onyx|The important point to recognize is that these boundaries are artificial and that there are no scientific frontiers in Nature.
/GPT/wav/LJ002-0016.wav|fake|tts-1|English|onyx|Previous to that date there had been seven hundred or eight hundred frequently, and once, in Mr. Akerman's time, one thousand.
/LJSpeech/train/wav/LJ027-0074.wav|real|real|English|Sometimes a piece is enlarged, sometimes diminished, or even becomes obsolete; sometimes several pieces are consolidated into one;|
/LJSpeech/train/wav/LJ015-0047.wav|real|real|English|Its debts amounted to three-quarters of a million, and the dividend it eventually paid was three and twopence in the pound.|
/LJSpeech/train/wav/LJ007-0126.wav|real|real|English|All the evils of indiscriminate association were strongly accentuated by the crowd collected within its narrow limits.|
/LJSpeech/train/wav/LJ046-0166.wav|real|real|English|An additional one hundred fifteen cases concerning Texas residents were established but not investigated.|
/LJSpeech/train/wav/LJ043-0024.wav|real|real|English|Even though it appears that they may have left Oswald a few days before, it seems that he resisted the move as best he could.|
/LJSpeech/train/wav/LJ007-0165.wav|real|real|English|any awakening truth, salutary exhortation, or imperfect resolutions of amendment can take root or grow.|
/GPT/wav/LJ025-0088.wav|fake|tts-1|English|shimmer|Cuvier himself practically gives up his second distinctive mark when he admits that it is wanting in the simpler animals.
/GPT/wav/LJ049-0061.wav|fake|tts-1-hd|English|echo|No responsibility rests upon those agents near the President for the identification or arrest of any assassin or an attacker.
/LJSpeech/train/wav/LJ019-0323.wav|real|real|English|The law made it imperative that every prison should have a prison chapel, and that daily and Sunday services should be held.|
/LJSpeech/train/wav/LJ015-0162.wav|real|real|English|Just after Robson's frauds had agitated the minds of all directors of companies, the chairman of the Great Northern (Mr. Denison)|
/LJSpeech/train/wav/LJ008-0282.wav|real|real|English|seventeen capital convicts, upon all of whom the sentence of death had been passed. Eventually two only of the whole number suffered;|
/GPT/wav/LJ039-0009.wav|fake|tts-1-hd|English|onyx|When Marina Oswald testified before the Commission on February three to six, nineteen sixty-four,
/GPT/wav/LJ028-0042.wav|fake|tts-1-hd|English|echo|The place where the old city had stood for three thousand years again became a desert.
/GPT/wav/LJ015-0015.wav|fake|tts-1-hd|English|echo|A more distressing case stands next on the criminal records --
/LJSpeech/train/wav/LJ024-0066.wav|real|real|English|But chance and the disinclination of individuals to leave the Supreme bench|
/GPT/wav/LJ016-0432.wav|fake|tts-1-hd|English|echo|The only subject another showed any interest in was the theatres and the new pieces that were being produced. A third, Christian Satler,
/GPT/wav/LJ026-0034.wav|fake|tts-1|English|nova|"When any given ""protist"" has to be classified the case must be decided on its individual merits;"
/LJSpeech/train/wav/LJ050-0198.wav|real|real|English|the studies indicate that there is some utility in attempting to designate certain buildings as involving a higher risk than others.|
/GPT/wav/LJ011-0265.wav|fake|tts-1|English|shimmer|This Mr. Canning had left his widow a life interest in two thousand pounds so long as she remained unmarried.
/LJSpeech/train/wav/LJ003-0208.wav|real|real|English|a number of amateurs were ever ready to give their gratuitous ministrations to the condemned.|
/GPT/wav/LJ001-0168.wav|fake|tts-1-hd|English|nova|On the whole, a small book should be printed on paper which is as thin as may be without being transparent.
/LJSpeech/train/wav/LJ029-0097.wav|real|real|English|and on their return to Dallas drove over the route which Sorrels believed best suited for the proposed motorcade.|
/LJSpeech/train/wav/LJ019-0117.wav|real|real|English|That industry might thus be stimulated and encouraged was probable enough,|
/LJSpeech/train/wav/LJ002-0131.wav|real|real|English|three times the amount would be expended.|
/LJSpeech/train/wav/LJ005-0297.wav|real|real|English|They therefore recommended that the prisoners should be removed|
/GPT/wav/LJ046-0132.wav|fake|tts-1-hd|English|alloy|in nineteen sixty-three the total exceeded thirty-two thousand items.
/GPT/wav/LJ021-0133.wav|fake|tts-1-hd|English|onyx|are likewise not fully cooperating with their government.
/GPT/wav/LJ005-0063.wav|fake|tts-1|English|alloy|It was thought that this would guarantee constant supervision and inspection, but it did nothing of the kind, and only the presence of warders on duty
/GPT/wav/LJ044-0099.wav|fake|tts-1|English|alloy|Stuckey thought that Oswald acted very much as would a young attorney.
/GPT/wav/LJ016-0111.wav|fake|tts-1|English|nova|The officers dropped on to him while he was still in bed, but as they came upstairs he jumped up and hid in a cupboard.
/LJSpeech/train/wav/LJ035-0122.wav|real|real|English|Dougherty took the elevator down from the fifth floor after Jarman, Norman, and Williams ran to the west windows and were deciding what to do.|
/GPT/wav/LJ006-0280.wav|fake|tts-1|English|nova|The clothing was still meager and ragged: the washing places insufficient, and wanting in decency;
/LJSpeech/train/wav/LJ009-0155.wav|real|real|English|drawn to this terrible exhibition by the example of his father, the more celebrated Edmund Kean, who had witnessed the execution of Thistlewood|
/GPT/wav/LJ039-0240.wav|fake|tts-1|English|fable|On the basis of the evidence reviewed in this chapter, the Commission has found that Lee Harvey Oswald (one)
/GPT/wav/LJ026-0064.wav|fake|tts-1|English|alloy|but unlike that of the animal, it is not chiefly an income of foods, but only of the raw materials of food.
/GPT/wav/LJ002-0199.wav|fake|tts-1|English|shimmer|but in the twenty-seventh George the second the right of presentation was bought by the Crown for ten thousand, five hundred pounds.
/GPT/wav/LJ005-0043.wav|fake|tts-1-hd|English|echo|and obtained full details, from places where they had been adopted, of the nature of these new machines
/LJSpeech/train/wav/LJ011-0203.wav|real|real|English|Monsieur le Maire was appealed to, and decided to leave it to the young lady, who at once abandoned Wakefield.|
/LJSpeech/train/wav/LJ028-0465.wav|real|real|English|served as an elevated road where several chariots might have been driven abreast.|
/GPT/wav/LJ010-0016.wav|fake|tts-1|English|nova|thefts of bullion, bank-notes, specie, and gold-dust, planned with consummate ingenuity,
/GPT/wav/LJ049-0066.wav|fake|tts-1-hd|English|nova|For instance, the lead car always is manned by Secret Service agents familiar with the area and with local law enforcement officials;
/GPT/wav/LJ043-0143.wav|fake|tts-1|English|echo|with his recently acquired rifle and pistol, a copy of the March twenty-four, nineteen sixty-three, issue of the Worker,
/GPT/wav/LJ005-0249.wav|fake|tts-1|English|shimmer|From the moment of a person's committal he was certain to be plunged deeper and deeper in guilt.
/LJSpeech/train/wav/LJ033-0013.wav|real|real|English|During October and November of nineteen sixty-three,|
/GPT/wav/LJ016-0045.wav|fake|tts-1-hd|English|nova|and at length reached a point opposite the top of the building containing the condemned wards. This had been a perilous and painful task;
/LJSpeech/train/wav/LJ042-0126.wav|real|real|English|He is a no-nonsense party regular.|
/GPT/wav/LJ022-0059.wav|fake|tts-1-hd|English|alloy|it is obvious that we cannot continue to create governmental deficits for that purpose year after year.
/GPT/wav/LJ045-0011.wav|fake|tts-1-hd|English|nova|by some rightwing groups centered in Dallas or any other general atmosphere of hate
/GPT/wav/LJ050-0278.wav|fake|tts-1|English|shimmer|the recommendations we have here suggested would greatly advance the security of the office without any impairment of our fundamental liberties.
/GPT/wav/LJ015-0251.wav|fake|tts-1-hd|English|echo|The latter was ere long arrested on a charge of uttering forged cheques, convicted, and sentenced to transportation for life.
/GPT/wav/LJ006-0213.wav|fake|tts-1-hd|English|onyx|The quantity to be issued per head was limited by the prison regulations to one pint
/GPT/wav/LJ004-0113.wav|fake|tts-1-hd|English|onyx|It was further ordered that male prisoners should be kept perfectly distinct from the females.
/LJSpeech/train/wav/LJ010-0230.wav|real|real|English|who was arrested in the very act, just as he had fired one shot.|
/LJSpeech/train/wav/LJ039-0001.wav|real|real|English|For more information, or to volunteer, please visit librivox dot org.|
/LJSpeech/train/wav/LJ005-0115.wav|real|real|English|or an imaginary boundary line, and nothing prevented parties from passing to either side|
/LJSpeech/train/wav/LJ029-0113.wav|real|real|English|gave more people an opportunity to participate.|
/LJSpeech/train/wav/LJ006-0050.wav|real|real|English|the Exchequer, the Commissioners of bankruptcy and of taxes; smugglers, and a larger number sentenced for very short terms,|
/LJSpeech/train/wav/LJ023-0137.wav|real|real|English|Congress has provided financial security|
/GPT/wav/LJ019-0280.wav|fake|tts-1-hd|English|onyx|They are now the universal rule,
/GPT/wav/LJ050-0277.wav|fake|tts-1|English|alloy|with the active cooperation of the responsible agencies and with the understanding of the people of the United States in their demands upon their President,
/GPT/wav/LJ042-0138.wav|fake|tts-1|English|onyx|His return to the United States publicly testified to the utter failure of what had been the most important act of his life.
/LJSpeech/train/wav/LJ010-0272.wav|real|real|English|This son, John William Bean, was fully identified by Dasset, and presently examined by the Privy Council.|
/GPT/wav/LJ013-0186.wav|fake|tts-1-hd|English|echo|Behind the skirting board several of his lordship's rings were discovered;
/GPT/wav/LJ006-0158.wav|fake|tts-1|English|echo|The act prescribed that he should do both every twenty-four hours, but days passed without his entering the wards.
/LJSpeech/train/wav/LJ038-0040.wav|real|real|English|As McDonald fell into the seat with his left hand on the gun, he felt something graze across his hand and heard what sounded like the snap of the hammer.|
/LJSpeech/train/wav/LJ042-0013.wav|real|real|English|that while he had begun to read Marx and Engels at the age of fifteen, the conclusive thing that made him decide that Marxism was the answer|
/GPT/wav/LJ030-0221.wav|fake|tts-1-hd|English|fable|stated that Mrs. Kennedy would probably have fallen off the rear end of the car and been killed if Hill had not pushed her back into the Presidential automobile.
/LJSpeech/train/wav/LJ008-0261.wav|real|real|English|In the case of convicted murderers only was prompt punishment inflicted,|
/LJSpeech/train/wav/LJ006-0063.wav|real|real|English|minor offenders charged with small thefts or non-payment of small sums were cheek by jowl with convicts sentenced to long terms of transportation.|
/LJSpeech/train/wav/LJ034-0199.wav|real|real|English|According to Euins, however, as the man lowered his head in order to aim the rifle down Elm Street, he appeared to have a white bald spot, on his head.|
/LJSpeech/train/wav/LJ006-0014.wav|real|real|English|They should be persons, he thought, selected from the highest class; the duty was most important,|
/GPT/wav/LJ023-0055.wav|fake|tts-1|English|alloy|Like the Bible, it ought to be read again and again.
/GPT/wav/LJ036-0187.wav|fake|tts-1-hd|English|onyx|Mrs. Roberts saw him a few seconds later standing near the bus stop in front of the house on the east side of Beckley.
/LJSpeech/train/wav/LJ005-0167.wav|real|real|English|"which became the four George the fourth cap. sixty-four, said that he had abstained from legislating for these small jurisdictions ""on mature deliberation."""|
/GPT/wav/LJ015-0243.wav|fake|tts-1-hd|English|alloy|At Redhill Tester met the train and relieved the thieves of a portion of the stolen gold.
/LJSpeech/train/wav/LJ019-0154.wav|real|real|English|If any disturbance reached his ears, he reported the case to the governor, who next morning visited the ward in fault, and asked for the culprit.|
/GPT/wav/LJ030-0042.wav|fake|tts-1|English|shimmer|Manned by officers of the Dallas Police Department, this automobile preceded the main party by approximately quarter of a mile.
/LJSpeech/train/wav/LJ037-0265.wav|real|real|English|positively identified Lee Harvey Oswald as the man they saw fire the shots or flee from the scene,|
/LJSpeech/train/wav/LJ020-0028.wav|real|real|English|Warm water for rinsing bowl -- about half a cup.|
/LJSpeech/train/wav/LJ038-0152.wav|real|real|English|Oswald told Fritz that after lunch he went outside, talked with Foreman Bill Shelley for five or ten minutes and then left for home.|
/LJSpeech/train/wav/LJ041-0086.wav|real|real|English|and then used the, quote, special treatment, end quote, he received as an example of the way in which he was being picked on and, quote,|
/LJSpeech/train/wav/LJ010-0033.wav|real|real|English|Esther Hibner was as inhuman in her ill-usage of the parish apprentice she killed as Martha Brownrigg had been.|
/GPT/wav/LJ042-0104.wav|fake|tts-1-hd|English|shimmer|After he returned to the United States
/LJSpeech/train/wav/LJ017-0098.wav|real|real|English|whether the ordinary or his own pills will never be known, except as may be inferred from the results, which indicate that he had taken the latter.|
/LJSpeech/train/wav/LJ015-0150.wav|real|real|English|But his chief extravagance, his favorite folly, was the exercise of an ostentatious benevolence.|
/LJSpeech/train/wav/LJ033-0204.wav|real|real|English|So if I found all of these then I would have been able to say these fibers probably had come from this blanket. But since I found so few,|
/GPT/wav/LJ050-0075.wav|fake|tts-1|English|fable|The Commission shares this concern.
/GPT/wav/LJ017-0209.wav|fake|tts-1-hd|English|echo|more particularly as regards locomotion.
/GPT/wav/LJ022-0074.wav|fake|tts-1|English|fable|It is a problem quite as much for private industry as for the government.
/LJSpeech/train/wav/LJ036-0036.wav|real|real|English|At about six:thirty p.m. on the day of the assassination, McWatters viewed four men in a police lineup.|
/GPT/wav/LJ025-0111.wav|fake|tts-1-hd|English|alloy|But has the advance of biology simply tended to break down old distinctions without establishing new ones?
/LJSpeech/train/wav/LJ022-0062.wav|real|real|English|It proposes, by means of old age pensions,|
/GPT/wav/LJ048-0159.wav|fake|tts-1-hd|English|shimmer|Agent Lawson did not arrange for a prior inspection of buildings along the motorcade route,
/GPT/wav/LJ036-0041.wav|fake|tts-1-hd|English|fable|McWatters also remembered that a man received a transfer at Lamar and Elm Streets and that a man in the lineup was about the size of this man.
/LJSpeech/train/wav/LJ006-0023.wav|real|real|English|had made such prisons as Auburn a model for imitation.|
/LJSpeech/train/wav/LJ049-0051.wav|real|real|English|Planning for motorcade contingencies.|
/LJSpeech/train/wav/LJ006-0016.wav|real|real|English|These considerations no doubt had weight|
/GPT/wav/LJ016-0205.wav|fake|tts-1-hd|English|alloy|he received a retaining fee of five pounds, five shillings, with the usual guinea for each job;
/GPT/wav/LJ032-0135.wav|fake|tts-1|English|shimmer|Lifting a print involves the use of adhesive material to remove the fingerprint powder which adheres to the original print.
/GPT/wav/LJ032-0019.wav|fake|tts-1|English|fable|Shortly after the Mannlicher-Carcano rifle was found on the sixth floor of the Texas School Book Depository Building, agents of the FBI
/LJSpeech/train/wav/LJ008-0264.wav|real|real|English|But the murderers formed only a small proportion of the total number sentenced to death, and for the rest there was a long period of anxious suspense,|
/GPT/wav/LJ014-0095.wav|fake|tts-1-hd|English|fable|On the third day his friends began to inquire for him,
/GPT/wav/LJ019-0304.wav|fake|tts-1|English|fable|twenty-two others received between eleven and twenty-five;
/GPT/wav/LJ016-0093.wav|fake|tts-1|English|onyx|They asked him how he had cut his hand, which was bleeding, and he said he had done it while working up on the roof.
/LJSpeech/train/wav/LJ048-0265.wav|real|real|English|after which time a very moderate use of liquor will not be considered a violation. However, all members of the White House Detail|
/LJSpeech/train/wav/LJ025-0085.wav|real|real|English|the definition so changed will cover all animals, except certain parasites,|
/LJSpeech/train/wav/LJ014-0313.wav|real|real|English|In this way he obtained vast sums from several firms, and one to which he was indebted upwards of fifty thousand pounds subsequently stopped payment.|
/LJSpeech/train/wav/LJ018-0342.wav|real|real|English|It was to effect the rupture of an irksome tie that led Henry Wainwright to murder Harriet Lane deliberately and in cold blood.|
/GPT/wav/LJ030-0247.wav|fake|tts-1|English|shimmer|I was bent over under the weight of Agent Youngblood's body, toward Mrs. Johnson and Senator Yarborough, end quote,
/LJSpeech/train/wav/LJ009-0033.wav|real|real|English|while behind their pew stood a couple of tall footmen in state liveries.|
/GPT/wav/LJ016-0407.wav|fake|tts-1-hd|English|echo|who generally attended the prison services.
/LJSpeech/train/wav/LJ028-0514.wav|real|real|English|The great outer wall seems to have disappeared completely beneath the desert surface.|
/LJSpeech/train/wav/LJ010-0256.wav|real|real|English|Undeterred by the well-merited punishment which had overtaken Francis,|
/GPT/wav/LJ014-0028.wav|fake|tts-1|English|echo|and he was in possession, the first time to her knowledge, of a watch.
/LJSpeech/train/wav/LJ030-0234.wav|real|real|English|Directing the security detail for the Vice President from the right front seat of the Vice-Presidential car, Special Agent Youngblood recalled, quote,|
/GPT/wav/LJ012-0195.wav|fake|tts-1|English|shimmer|and of these Bishop and Williams, who were guilty of many peculiar atrocities, ended their murderous careers in front of the debtors' door at Newgate.
/GPT/wav/LJ043-0187.wav|fake|tts-1|English|alloy|She testified that Oswald said that General Walker, quote, was a very bad man, that he was a fascist,
/LJSpeech/train/wav/LJ015-0019.wav|real|real|English|The Strahan of the firm which came to grief was a Snow who changed his name for a fortune of two hundred thousand pounds;|
/LJSpeech/train/wav/LJ037-0008.wav|real|real|English|Two witnesses testified that Oswald resembled the man they had seen.|
/GPT/wav/LJ015-0223.wav|fake|tts-1-hd|English|shimmer|He lent it to Agar for a brief space, who promptly took an impression on wax. But the safes had a double lock;
/LJSpeech/train/wav/LJ027-0102.wav|real|real|English|which in other and allied kinds of animals and plants are of large size and functional utility.|
/GPT/wav/LJ048-0154.wav|fake|tts-1|English|onyx|as discussed in chapter three.
/GPT/wav/LJ038-0186.wav|fake|tts-1-hd|English|echo|You will find the mailbox in the post office which is located four blocks from the drugstore on that street.
/LJSpeech/train/wav/LJ045-0073.wav|real|real|English|Oswald once struck his wife because of a letter which she wrote to a former boyfriend in Russia.|
